##############################
# Data for ETH_0
# CMD  ADDRESS      DATA
w      081b8000168    00000880
w      081b9000168    00000880
w      081b8000008    00000005
w      081b800000c    0038000c
w      081b8000010    001a0000
w      081b8000038    00480024
w      081b800003c    00000400
w      081b8000088    00000000
w      081b800008c    3f800000
w      081b8000094    00002326
w      081b80000a8    0000000d
w      081b80000b8    00000501
w      081b80000c0    000000c6
w      081b80000d8    00000036
w      081b80000dc    00240021
w      081b80000e0    00210001
w      081b80000e4    00000034
w      081b80000e8    00200019
w      081b80000ec    00000035
w      081b80000f0    00000037
w      081b8040000    00000021
w      081b8040150    00000001
w      081b8040164    00000001
w      081b8040168    0000000c
w      081b80401a4    0000000f
w      081b80401b0    00000025
w      081b80401c0    00000060
w      081b80401c4    00000000
w      081b80401cc    00000000
w      081b8040208    00000180
w      081b80402c4    000e0019
w      081b8040348    00000600
w      081b804034c    5933333f
w      081b804036c    00070f00
w      081b804037c    01ff01ff
w      081b804039c    00000000
w      081b80403b8    00000045
w      081b80403c4    001c0004
w      081b80403cc    003f001e
w      081b80403d0    00000000
w      081b80403e0    0000a6e0
w      081b8040494    02a6d171
w      081b804049c    00083def
w      081b80404a0    00007004
w      081b80404a8    00af0064
w      081b80404ac    00000000
w      081b80404c0    00000012
w      081b80404c8    00ff0000
w      081b80404d0    00002326
w      081b80404d4    00000004
w      081b80404dc    00000066
w      081b8040500    0007d470
w      081b8040524    0007d470
w      081b8040548    0007d470
w      081b804056c    0007d470
w      081b8040590    0007d470
w      081b80405b4    0007d470
w      081b80405d8    0007d470
w      081b80405fc    0007d470
w      081b8040628    00000102
w      081b8040658    00000010
w      081b8040660    0269026b
w      081b8040664    000001c9
w      081b8040668    025d025b
w      081b804066c    0261025f
w      081b8040670    02650263
w      081b8040674    00000267
w      081b8040678    016c0143
w      081b804067c    01b30143
w      081b8040680    00ed00e1
w      081b8040684    0142012e
w      081b8040688    01440143
w      081b804068c    01b50176
w      081b8040690    000001b6
w      081b8040694    01420136
w      081b8040698    014200ee
w      081b804069c    020901f6
w      081b80406c0    01000000
w      081b80406cc    00200000
w      081b80406d8    08000000
w      081b80406a0    022f021c
w      081b80406a4    02550242
w      081b80406a8    02590257
w      081b80406ac    000001b7
w      081b8041008    0000fc00
w      081b8041038    00001843
w      081b804105c    7e800000
w      081b8041060    61a8001e
w      081b8041064    000a61a8
w      081b8041068    0000003f
w      081b804106c    000000d8
w      081b8041070    000e0006
w      081b80410b8    0000008d
w      081b80410c0    18408000
w      081b80410c4    00030a20
w      081b80410d8    00083def
w      081b80410dc    00007004
w      081b80410e4    00af0064
w      081b80410e8    00000000
w      081b8041108    00000024
w      081b804110c    25140f04
w      081b804112c    00000005
w      081b8041140    00120000
w      081b8041148    00ff0000
w      081b8041150    00002326
w      081b8041154    00000002
w      081b8041158    00000066
w      081b8041180    00000302
w      081b80411e4    00000001
w      081b80411a4    00000083
w      081b80411a8    00640060
w      081b80411ac    007a0060
w      081b80411b0    00400038
w      081b80411b4    005d005b
w      081b80411b8    00610060
w      081b80411bc    007c0062
w      081b80411c0    00000081
w      081b80411c4    005f0059
w      081b80411c8    005f0041
w      081b80411cc    00a30095
w      081b80411d0    00bf00b1
w      081b80411d4    00db00cd
w      081b80411d8    00df00dd
w      081b80411dc    00000082
w      081b8042024    04982981
w      081b8042028    0000004c
w      081b804203c    00780033
w      081b8042040    001e0004
w      081b8042060    001f902d
w      081b8042064    00000c4e
w      081b804206c    00000f76
w      081b8042070    004c4b20
w      081b804207c    031249ff
w      081b8042094    46666777
w      081b8042098    00006664
w      081b80420a0    00000f00
w      081b80420a4    0000003c
w      081b80420a8    00000002
w      081b80420b0    00055d7e
w      081b80420c4    00400873
w      081b80420c8    0000000a
w      081b80420dc    01418ec7
w      081b80420e0    000ec03b
w      081b80420e4    00063ee0
w      081b80420e8    0003b050
w      081b80420f0    12a41041
w      081b80420f4    00000f00
w      081b80420f8    3cfd8f18
w      081b8042100    00000f00
w      081b8042104    00000f00
w      081b8042108    0000aa0a
w      081b8080000    00100440
